ASH,TA_AV,RH
0,22.4,67.8
-1,22.7,67.2
-1,22.2,73.2
0,22.6,72
0,22.3,71.9
-1,22.4,71.9
2,22.4,73.4
0,23,79.3
0,22.8,75.5
-1,23,75
-1,23.1,74.2
-0.5,23.3,74
-1,23.7,73.5
-2,23.5,69.8
-2.5,23,70
0,22.9,68.3
-1,22.6,68.5
-1,22,71.2
0,22.1,71.3
1,22.5,71.6
0,22.6,67.4
-1,22.3,59.7
0,21.8,61.4
0,21.5,60.4
0,21.7,59.7
-1,22.3,58.8
1,23.1,57.9
0,23,58.1
-1,22.3,59.4
-1,21.4,60
-1,21.3,60.1
-1,21.3,58.9
-1,21.1,58.6
-1,20.8,58.6
-1,22.2,57.8
0,22.5,56.9
0,22.9,56.1
0,22.9,55.4
-1,22.7,55.9
-1,22.8,54.9
-1,22.8,55
0,22.6,55
-1,22.3,54.7
-1,22.3,59
1,22.4,61.9
-0.5,22,61.8
-3,22,61.2
-3,21.7,60
-1,22.2,59.1
-2,22.9,58.1
-2,21.3,60.8
-2,20.5,61.9
0,20.8,62
-1,21.6,60.8
-0.5,21.9,59.6
0,22.1,59
0,22.1,58.7
0,22.1,58.8
-1.5,22.1,59.4
0,22.2,59.1
0,22.5,58.4
1,22.7,57.7
1,22.7,57.2
2,22.6,57.1
-1.5,22.8,56.9
0,22.6,57.1
0,22.1,58.1
-1,22,58.3
-1,22.3,57.8
0,22.4,57.7
-2,22.6,57.5
0,22,57.1
-1,22,57.1
0,22,56.7
-2,22.6,42.3
-1,22.9,40.3
-1,23.3,39.6
-1,22.5,43.9
-2,22.1,39.6
0,23.6,48
0,24.8,41.6
1,25.3,42
0,25.2,40.8
1,25.2,42.2
0,24.1,40
0,24.1,39.4
0,24.1,38.8
0,24.5,37.3
-1,24.8,37.4
0,24.2,38.5
1,24.3,38.3
-1,23.9,42.9
-2,24.3,42.8
0,24.5,43.2
0,24.4,45.2
-2,24.7,58.9
-1,24.7,56.9
-1,24.3,44.5
0,24.1,55.8
0,24,45.1
0,24.5,40.2
-1,24.3,39.4
-1,24.1,39.4
-1,24,38.6
0,22.8,39
0,23.6,37.7
0,24,36.6
0,24.1,36.4
0,23.6,36.5
1,23.7,36.1
0,23.5,35.5
-1,23.5,35.1
0,23.8,34.6
0,23.8,33.6
0.5,23.6,45.7
0,22.6,44
-2,22.3,45.5
0,23,43.5
0,23.3,44.9
0,23.6,44.8
0,23.5,45.6
0,22.8,36.1
-1,22.2,36
-2,21.6,36.4
-2,21.9,36.8
-1,22.2,36.4
0,21.6,68.4
-1,21,67.8
0,20.8,67.6
-1,20.6,67.2
0,20.6,68
-1,20.8,68.4
-1.5,20.9,68
-2,20.9,67.7
0,21.1,67.6
-1,21.5,66.8
-2,21.5,67.1
-2,21.6,66.9
0,21.8,66.2
0,21.8,66.4
0,21.6,67.4
-1,22.4,69.8
-1,22.8,69.4
0,23.1,69.3
-1,23.1,69.4
1,23.1,69.7
1,23.1,69.4
0,23,68.5
-2,22.6,68
-2,22.2,68.8
-3,22,69.2
-1,22.5,69.1
0,22.5,71.1
-1,22.3,71.9
1,22.6,71.7
-1,23,72.2
-0.5,23.2,72.8
1,23.5,71.9
-2,23.4,70.9
0,23.1,70.6
0,23,70.4
-1,23.1,70
0,23.3,69.5
1,25.4,59.6
0,25.2,60.1
1.5,24.9,60.7
0.5,23.3,62.5
0,23.5,62.7
0,23.8,62.1
0,23.7,61.9
0,23.6,61.9
-0.5,23.6,61.8
0,23.7,61.9
-1,23.5,62.4
0,24.5,61.7
0,25.2,60.2
0,25,60.7
1,25.8,59.3
2,25.9,58.9
0,25.2,59.1
1,23.7,62.5
1,24.2,61.9
1,24.9,60.3
1,24,60.7
2,24.6,60
1,25.7,57.8
1,25.2,58.7
-1,24.8,59.2
0,24.3,59.6
0,24.1,60.2
1,24.4,60.1
1,24.4,59.7
-1,23.9,60.2
0,23.2,61.1
-0.5,22.3,61.7
-2,22,62.7
-0.5,21.5,63.6
0,22.8,62.8
0,23.8,61.2
0,23.6,60.8
-1,23.4,60.9
-1,23.2,60.9
-2,22.8,61.6
-1,22.9,58.7
-1,22.9,58.6
1,23.1,58.3
-1,22.8,59.1
-1,22.8,58.9
0,22.9,59.1
-1,23.4,58.7
0,23.7,58.6
1,23.5,58.7
1,23.6,58.8
0,23.4,59.2
-1,23.3,59.9
2,23.5,59.5
0,23.1,59.6
-1,23.1,59.6
-1,22.9,60.1
0,22.8,59.9
0,22.8,60
0,22.5,60
0,23.6,57.7
0,23.4,57.9
-1,22.6,60.9
2,22.8,61.1
0,23,61.3
-1,22.7,62.9
0,22.4,63.4
-3,22,64.2
0,23.2,59.3
0,22.7,59
-1,22.2,59.5
-2,21.9,60.2
-1,22.5,59.2
-2,22.8,58.8
0,23,58.6
0,22.8,58.5
1,19.7,56.6
-1,22.2,58.7
-1,21.7,58.7
0,22,58.9
-1,21.6,59
0,22.7,57.9
1,23,57.5
3,22.9,57.6
1,22,58.5
-1,22.3,59.3
0,22.5,59.2
-1,22.4,59.2
0,22.3,58.7
-1,22.1,58.6
0,21.9,58.8
-1,21.6,59.9
-1,21.9,59.2
-1,22.3,58.9
2,22.3,59.3
-1,22.2,59.9
-1,22.1,58.6
0,21.9,60.4
0,22.3,60.1
0,22.5,59.6
1,24.9,58.7
0,25,58.2
1,24,58.7
1,23.9,59.1
-1,24.1,58.8
1,23.7,59.1
-1,23.4,59.6
0,24.2,58.8
0,23.7,59.3
1,24.3,58.4
-1,23.9,58.5
0,23.5,58.7
-1,23.5,59
0,23.4,58.8
0,23.4,59.2
-2,23.1,59.3
-1,22.5,59.1
1,22.5,58.9
3,23.5,59.1
0,23.9,58.6
0,23.4,58.7
0,23.6,58.5
-1,23.6,58.6
-1,22.6,59.8
2,25.8,62.2
1,25.3,59.3
1,24.9,63.3
1,24.8,63.3
0,24.8,63
1,24.7,63.2
0.5,25.2,62.8
0,25.9,61.9
1,26.1,61.3
0,26,61.5
0,26,60.7
0,26.3,61.1
1,26.4,59.8
0,26.5,59.8
0,26.4,59.2
0,26.2,59.1
1,26.4,58.5
0,26.3,58
0,26.3,59
1,26.2,59.1
0,26.2,59.9
1,26.4,58.6
1,26.4,58.1
-1,25.8,58.6
3,25.9,58.6
1,25.9,58.1
0,25.8,58.4
0,25.6,58.5
2,25.7,58.7
1,26.1,58
1,26,57.8
0,25.9,57.5
2,25.8,58.8
1,25.4,58.7
1,25.3,58.9
1,25.2,59.4
