ASH,TA_AV,RH
-1,20.4,39.10960788
0.4,22.2,36.71145897
-0.5,22.2,36.71145897
0,22.2,36.71145897
-1,22.2,36.71145897
0,22.2,36.71145897
0,22.2,36.71145897
1.5,22.5,35.93112886
0.6,22.5,35.93112886
-0.5,22.8,34.56140214
0,22.8,34.56140214
-0.5,20.6,38.75075892
-0.2,20.6,38.75075892
0,22.5,35.31286075
,22.5,35.31286075
0.2,22.5,35.31286075
0.2,22.5,35.31286075
-0.5,22.5,35.31286075
-0.3,20.4,39.10960788
-1,20.4,39.10960788
-1,22.5,30.44248824
-0.3,22.5,30.44248824
0,22.5,30.44248824
-2,22.5,30.44248824
0,21.8,36.71814634
-2.2,22.1,37.82025872
0,22.1,37.82025872
0,22.1,37.82025872
0.2,21.8,36.71814634
-1,23,33.07026945
-0.5,23,33.07026945
-0.9,22.1,35.92626789
-1,22.1,35.92626789
0.5,22.1,35.92626789
1.5,23.5,32.68567355
-1,20.4,39.78909934
-0.5,23.5,30.93378841
-1,23.5,32.68567355
-1.5,23.5,32.68567355
0.3,21.7,40.43512625
0,21.7,40.43512625
-0.1,21.7,40.43512625
-1,22.2,37.97295476
0,22.9,35.93646838
0.5,24,34.63453046
2,22.3,41.95210167
0,21.5,39.48211225
0,22.3,41.95210167
1,23,42.2897527
-0.5,23,42.2897527
0,22.3,41.95210167
0,22.3,41.95210167
-1,20.6,43.51354603
-0.5,20.6,43.51354603
-0.5,20.6,43.51354603
1.5,24.4,35.23537374
0.3,24.4,35.23537374
1,21,42.05423259
1,21,42.05423259
-2,21,42.05423259
0.5,21,42.05423259
-1,21,42.05423259
-1,21,42.05423259
-1,21,42.05423259
0,21,42.05423259
0,22.3,42.59780701
-0.5,22,43.4834077
0.6,20.7,49.93591812
0,22,43.4834077
-0.3,22.2,47.7192288
-0.5,21.4,47.3619328
1,22.5,42.23318787
-0.4,20.6,50.51983129
0.3,20.7,49.93591812
-0.1,20.7,49.93591812
0.5,22.3,46.51991268
-2.3,22,46.7946511
2,24.7,39.74235876
1.6,24.7,39.74235876
0,24.7,39.74235876
1,23,44.19245864
0,23,44.19245864
1,23,44.19245864
-0.5,23,44.19245864
0,22.5,44.1670952
-0.5,22.5,42.87556434
0,22.5,42.87556434
-1,23.5,43.59069537
-0.5,22.5,42.87556434
1,24.2,39.05217847
-0.6,23,41.03239987
0,23,41.03239987
0.3,22.8,45.85859978
1.3,22.7,47.68732962
1,22.7,47.68732962
1.3,22.2,49.05791549
,22.9,45.98738714
0.8,23.6,46.2347078
-1,22.9,46.63455679
-0.5,22.9,46.63455679
2.1,24.9,40.01299717
0,24.9,40.01299717
0,24.9,40.01299717
1,22.9,45.98738714
0.5,24.2,42.05477498
0,24.2,42.05477498
1.5,26.2,38.33100266
0,26.2,38.33100266
2,26.2,38.33100266
2,26,38.62279323
0.5,22.6,46.25087982
0.5,23.8,44.60464586
1,24.2,43.27083186
1,24.7,40.33140425
2.2,24.7,40.33140425
0,24.9,40.01299717
0.1,24.5,43.65660184
1,24.5,43.65660184
0.5,24.5,46.09719653
1,24.4,46.59232435
1,24.5,46.09719653
1,24.7,45.72861098
1,24.4,47.83324314
0.4,22.7,51.66697216
-1,22,54.28800565
1,22.3,52.5609427
0,22.2,45.07000102
0,22.9,44.05955948
0,22.8,45.2120871
1,22.8,45.2120871
-1,23.1,43.68972151
1,23.1,43.68972151
0,23.4,42.20930278
1,23.4,42.20930278
0,22.5,45.46773582
0.2,22.2,45.72881774
-3,22.2,45.72881774
1.8,23.4,43.45844245
0.5,23.4,43.45844245
0,23.2,44.45596701
-1,24.1,43.75355369
-1,24.1,43.75355369
-1,23.6,46.86845047
-0.3,23.3,47.77893528
-1,24.3,47.71501886
0.5,23.3,47.77893528
0,23.3,47.77893528
0,22.9,49.90510059
1.6,22.9,49.90510059
0.5,22.7,50.99778003
0,23.1,49.48543985
-0.5,23.1,46.88667648
0,22.6,45.5987797
0,22.6,45.5987797
0.1,23.2,44.45596701
-0.8,22.6,45.5987797
2,24.2,39.64844749
2,25.2,36.39668145
-0.8,24.5,37.70545598
0,23.8,39.08788966
0,22.8,39.49475682
0,23.8,39.08788966
0,22.8,40.74971961
1.4,25.9,34.06213947
2.3,25.9,34.06213947
0,22.8,40.74971961
0.8,22.8,40.74971961
-0.2,22.8,40.74971961
0.6,23,46.76097953
-1,23,46.76097953
0,23.7,45.72933349
-2,22.8,47.15850736
-1,23.1,46.88667648
-1,23.1,46.88667648
1,23.4,47.90089928
0,22.5,49.42519606
1,22.7,49.0044526
0.2,23.8,45.85472837
0.5,22.4,48.63636219
0.8,24,44.85939519
1.7,24,44.85939519
1,24,44.85939519
1,24,44.85939519
0,23.2,47.011653
0,23.2,47.011653
-0.4,22.6,48.88246445
-0.5,23.2,48.3031894
1.5,23.4,40.96895619
0,23.4,40.96895619
0.1,22.8,41.38050227
1,22.8,41.38050227
1,23.8,39.69222388
0.5,24.8,40.46568738
1.2,26.1,38.19774676
1.5,25.4,40.67640007
1,25.4,40.67640007
0.5,25.4,40.67640007
0,22.8,41.38050227
1.6,25.2,39.8333147
1,24.9,40.01299717
-0.5,24.2,37.8659453
0,24.2,37.8659453
1,24.2,37.8659453
0.3,25.3,35.9738581
2,23.7,49.54296423
2.5,26.4,39.14921068
1,26.5,38.7263679
0.5,23.7,50.186581
0.5,23.7,50.186581
0,23.7,50.186581
0.5,23.7,50.186581
2.4,25.7,34.32119716
-0.4,23.7,43.23190797
-0.2,22,50.16459278
0,22,50.16459278
-0.2,23.2,48.95241902
-0.5,23.2,48.95241902
0.5,23.2,48.95241902
-0.4,23.2,48.95241902
-1,23.2,48.95241902
0,23.7,50.186581
0,25.9,43.62425965
1,25.9,43.62425965
0,25.9,43.62425965
0,25.6,43.84039283
1,25.9,42.4687157
1,25.6,43.84039283
1,25.6,43.84039283
1,25.6,43.84039283
1.9,25.6,43.84039283
0,24.4,48.45706255
1,24.4,48.45706255
0,24.4,48.45706255
0.6,24.4,48.45706255
2,24.1,48.10488183
2,24.1,48.10488183
0.7,24.1,48.10488183
0.5,24.1,48.10488183
0.3,25.6,43.84039283
1.5,23.7,49.54296423
2.2,24.2,47.59612598
0,24.2,47.59612598
0,25.1,45.60753678
1,25.1,45.60753678
1,25,45.48674532
0,23.7,49.54296423
2,26.3,42.96157415
0,26.3,42.96157415
-1,23.3,48.42425351
1,25.3,45.24947429
1.1,25.3,45.24947429
1,23.3,48.42425351
1.3,25.4,43.59380492
1.5,24.2,45.11126449
1,25,43.09229393
1,25.7,42.2181641
-0.7,24.7,46.33913066
1.5,26.8,40.76787021
1,24.7,46.33913066
2.3,26.8,40.76787021
0.5,24.3,43.40015119
0,23.6,48.14274707
1.1,25.9,43.62425965
2.2,25.9,43.62425965
0,25.9,43.62425965
0.4,22.2,52.44640277
1.5,26.7,41.75699425
-1,24,46.10338704
0.1,22.5,50.7631589
0,24.5,48.57314001
0.2,24.6,46.83268399
0.1,22.2,51.76388592
0,25.4,43.59380492
2.5,27,37.74353031
-0.5,23.1,47.53290137
-0.5,22.6,51.55167798
0,24,49.25264661
-0.4,24,49.25264661
0.3,24,49.25264661
-0.4,24.3,47.71501886
1.5,25.5,46.68104512
0.1,25.3,45.84710604
0,24.1,48.73546693
-0.6,23.6,50.07138196
1,24.3,48.96789863
-1,24.2,49.48335333
0,23.2,50.91408535
0,23.3,49.72182565
1,23.2,50.91408535
-2,22.2,53.13135231
-0.2,22.2,53.13135231
-1,22.2,53.13135231
1,22.2,53.13135231
0.9,20.6,50.51983129
-1,20.6,50.51983129
0.5,22.2,47.7192288
-0.5,20.5,48.96868846
-0.4,20.5,48.96868846
-0.2,19.9,51.80887434
0,21,47.52272067
0,25.4,47.16487975
0.9,25.9,44.78820548
0,25.9,44.78820548
1,25.9,44.78820548
0,25.9,44.78820548
0,25.9,44.78820548
0.2,25.9,44.78820548
0.2,24.1,51.28064997
1,24.1,51.28064997
2,24.1,51.28064997
1,24.1,51.28064997
1,24.2,49.48335333
1,24.2,49.48335333
1,24.2,49.48335333
0.6,22.9,53.90754832
2,24.2,50.11697741
-0.5,24.2,50.11697741
-0.5,24.2,50.11697741
0,25.1,48.64249634
1,24,49.88931738
0.5,23,52.00890677
1,24.4,47.21166725
2,24.4,47.21166725
2.2,25.6,43.84039283
2,24,44.85939519
,23.5,49.30876411
1.5,24.8,46.45908216
1.5,24.8,46.45908216
0.2,23.9,47.86675589
0,23.3,51.02871852
0.4,23.4,51.14269973
0.9,25,46.09076948
0,23.2,48.95241902
-1,23.2,48.95241902
-0.1,21.3,41.82432123
-1,24.9,42.96515001
0.1,24,46.10338704
0.2,23.1,48.83227207
1.5,25.7,43.37906056
2,25.7,43.37906056
1,24.1,46.2266612
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1,24.7,43.91017048
0,24.6,47.44908104
0.7,25.3,44.06066965
2,24.7,45.72861098
0.7,24.7,44.51414117
1.5,24.7,43.30836231
2.2,25,46.09076948
0,25.1,45.0071016
1,25,46.09076948
0,22.1,48.26181438
0.4,22.8,35.17061201
2.5,22.5,35.31286075
-0.3,21.4,38.02338932
1,22.7,33.79406969
0,21.4,38.6755571
-0.3,22.2,34.83544864
-3,21.5,36.24114052
1,21.4,38.6755571
0.5,22.3,34.37612157
0,22.8,34.56140214
0,21.6,37.0431088
0,22.5,34.69672136
0,21.8,37.35673005
0,21.8,39.28572419
-0.5,22.5,35.93112886
0,22.8,36.39537405
-0.5,22.4,37.64714015
0.3,21.6,36.40108764
-0.7,21,35.42694009
-0.2,21.9,31.24047389
1,22.3,33.75884246
0.6,21.9,31.24047389
-0.3,21.9,38.15123158
0,21.5,38.17904469
1,22.3,36.24074181
0.1,21.6,38.98244841
-1.3,21,32.19690189
0.5,21.6,31.96779772
0.5,21.8,30.45098045
-0.9,20.1,35.91275822
0,22.2,29.92600643
-1.5,20,35.06778261
0.4,21.3,32.08070624
1,21.5,31.16930665
0,20.5,33.92845492
1,20.5,33.92845492
1.7,22.2,31.14083605
-0.4,22.7,28.99895947
1,21.6,31.96779772
-1,23,29.51450901
0,23.2,29.27071413
0,22.3,33.75884246
0,23.3,30.02105433
-0.5,22.3,33.75884246
-2,23.3,30.02105433
0,23.1,32.04051858
-0.5,22.3,31.31075589
-1,22.3,33.14367659
-0.5,22.3,33.14367659
1,22.5,35.93112886
1,21.1,34.29673328
-0.6,22.1,34.67442539
-0.9,21.8,33.55785554
0,22.1,34.67442539
-1,22.1,32.81267941
-0.5,22.3,34.99552426
0,22.6,32.41857623
0.5,22.7,33.79406969
0,22.5,35.31286075
0.5,22.5,33.47078751
-0.2,22.5,35.31286075
1,22.7,32.58293697
0.2,22.5,32.25324526
0,22.5,34.69672136
1,22.7,32.58293697
1,22.5,32.86097254
1,22.7,31.98048451
-0.3,22.6,35.47013554
0.4,22.3,32.53061369
0.9,23,30.69163473
-1,23.5,34.45585604
-1,22.2,36.71145897
-0.9,23.9,35.06828025
0,23.7,32.41967681
0,22.2,34.83544864
0.5,23.7,30.68278362
1,23.4,31.93829922
0,22.2,34.83544864
2,24.4,33.5109311
1,23.6,32.84462907
1,23.9,32.15795517
0,23.6,32.26014881
0.8,22.7,35.01357375
0,23.6,32.84462907
-0.5,20.3,38.27180943
0.9,21.4,37.37345423
0,20.8,44.4881186
-2,20.5,42.67868583
0.5,20.4,43.22154145
-0.6,20.8,44.4881186
0,20.4,43.22154145
1,20.4,43.22154145
0,20.5,50.39328053
1,19.6,54.41017969
-0.3,20.5,50.39328053
-0.4,20.7,49.22867425
-1,19.6,56.67354514
-0.5,20.7,49.22867425
-0.7,19.5,54.29018978
1,19.5,54.29018978
-0.3,19.7,56.0316197
0,20.1,53.52384625
0,19.2,55.44885176
-1.2,19.2,55.44885176
-0.9,20.6,54.84216394
0,20.6,54.84216394
0.9,19.2,55.44885176
0,20.4,46.01016652
0,21,44.76953738
1.7,21,44.76953738
0,20.9,44.6292466
0.5,20.8,45.86733239
0,20.8,45.86733239
-0.2,20.9,44.6292466
0,21,38.71226044
0,20.6,48.39238517
1,20.9,46.00474738
,19.6,42.72692324
0,20.9,43.94505764
1,19.6,42.72692324
-0.7,19.2,45.00451064
2,25.6,36.39761904
-0.3,19.5,37.64589783
0.5,20.2,35.40920507
0,22.5,34.69672136
2,20,40.53732823
0,22.3,38.12475525
0,20,40.53732823
0.5,20.2,40.16010274
1,23.5,32.09969191
-0.7,20.2,40.16010274
-0.2,20.2,40.16010274
-0.3,20.6,39.42420075
0.5,23.8,31.42131017
0.5,24.3,31.08074921
1.9,24.3,31.08074921
1,24.3,31.08074921
0.5,20.7,37.57216818
-1.1,20.7,37.57216818
0.2,19.7,41.46660246
0.5,23.7,34.7638381
1,20.4,39.10960788
0,20.4,39.10960788
2.1,23.4,37.2998418
0,20.4,39.10960788
1.1,23.4,36.69578699
0,21.5,38.17904469
-1.3,21.5,38.17904469
0,21.5,38.17904469
0.7,23.6,38.1975173
-0.3,20.6,40.77799541
0,21.4,39.98663437
-1.7,20.4,45.30940792
-1.2,21.7,43.72629321
0.4,21.4,39.98663437
0.7,21.7,43.72629321
0,21.1,38.20832125
0.2,21.1,38.20832125
-1.4,22.4,39.53928174
0,20,37.10159353
1.5,22.7,38.09949619
-1,21,38.71226044
-0.2,21,38.71226044
-0.5,21,38.71226044
-0.5,22.3,40.02844604
0,21,36.73435827
-3,21,36.73435827
1,21,38.05070844
0.5,21,38.05070844
1,22.2,40.5223005
1.1,20.6,40.77799541
0,22.2,40.5223005
0,20.6,40.77799541
-2,22.3,41.30864692
-1.9,20.6,40.77799541
0,19.5,42.57431611
1.3,23.6,40.01962091
-1,20.7,41.60867487
-0.3,21.6,44.25329532
-0.5,21.6,44.25329532
0,22.1,41.66770849
0.5,22.1,41.66770849
0,22.1,41.66770849
1,21.5,37.53086118
0.2,21.5,37.53086118
0,22,36.39846583
-0.5,21.3,37.21510758
-1,21.3,37.21510758
0.5,21.3,37.21510758
1,22,37.03147119
0.7,22,37.03147119
1.1,22,37.03147119
0.5,22,37.03147119
-1,22,37.03147119
0,22,37.03147119
0.3,22,37.03147119
0.3,23,34.87589455
1,23,34.87589455
1,23,34.87589455
0.3,22,37.03147119
1.7,22,37.03147119
-1.1,21.2,40.34566488
0.3,23,33.67006595
-0.5,23,33.67006595
-0.5,23,33.67006595
-0.5,23.7,32.41967681
-1,23.7,32.41967681
1,23.7,32.41967681
1,23.7,32.41967681
1,23.7,32.41967681
2,23.7,32.41967681
-0.5,23.5,28.62594786
-0.5,21.8,45.86246493
1,23.4,39.73731905
0,22.2,37.34111762
-1,22.2,37.34111762
-1.2,22.2,37.34111762
0,22.2,37.34111762
-2,22.2,37.34111762
1.5,21.4,41.30677381
-1,20.6,43.51354603
0.3,22.2,39.24320687
-2.4,22.2,39.24320687
1.4,23,40.40702697
1,22.8,38.24852712
-0.5,22.8,38.24852712
0,22.6,43.65621375
0.5,23,40.40702697
0,22.5,41.59305628
1,22.5,41.59305628
-1,22.2,42.45770684
0.7,22.2,42.45770684
0,22.5,41.59305628
1,22.3,45.2033522
0,22.3,45.2033522
0,22.3,45.2033522
0,22.6,41.09776668
0,21.8,45.86246493
1,22.7,41.87416663
0.4,22.7,41.87416663
-2,22.7,41.87416663
0.8,23,43.55598556
-1,23,43.55598556
0.8,22.9,43.42147457
-0.2,22.9,43.42147457
0,22.9,43.42147457
0.2,22.9,43.42147457
1,22.9,43.42147457
-1,23,42.92175381
1,23,42.92175381
0,23,42.92175381
1,23,42.92175381
0.5,22.5,45.46773582
-0.7,22.5,45.46773582
0,22.5,45.46773582
-0.3,22.5,45.46773582
0,21.7,45.72865058
-0.3,21.4,39.32996846
0,23.3,44.58658745
0,23.8,44.60464586
0,23.8,44.60464586
0.4,24.4,44.13707373
1,24.4,44.13707373
2,24.4,44.13707373
1,24.4,45.36029567
0.6,24.4,45.36029567
2,24.8,45.24312419
1,24.8,45.24312419
-0.5,24.7,46.33913066
0.7,24.7,46.33913066
-0.2,24.7,46.33913066
0,24.6,46.21850376
0,24.6,46.21850376
1.1,24.5,47.9508037
-0.2,24.5,47.9508037
0.3,24.5,48.57314001
1,24.5,47.9508037
1,25.3,50.70700987
1.5,25.3,50.70700987
0.5,22.8,51.7816051
0.5,22.8,51.7816051
0.9,24.8,52.6725888
2,22.9,50.56622577
0.3,22.9,50.56622577
0.8,22.9,50.56622577
1.7,22.9,50.56622577
0.5,22.8,51.7816051
0,22.8,51.7816051
1.5,22.8,51.7816051
-0.3,22.8,51.7816051
1.2,25,52.25288802
0,22.7,51.66697216
0,22.7,51.66697216
1,25.5,47.8816133
-1,22.7,51.66697216
1,22.7,51.66697216
2,26,45.49094062
0,22.5,48.7597694
-1,22.5,48.7597694
0,22.5,48.7597694
-0.2,22.5,48.7597694
2,25.6,47.3949602
1.5,23.2,47.011653
2,25.6,47.3949602
-1.2,23.2,47.011653
0,23.2,47.011653
0.2,23.2,47.011653
0.3,23.2,47.011653
0,23.7,42.61307884
0,23.7,42.61307884
0,23.7,42.61307884
1,23.7,42.61307884
1,23.7,42.61307884
0.3,21.9,48.68417535
0,24,43.00997832
0,24,38.77055194
2,24.1,40.71135184
1,24.4,39.33060782
1,24.6,36.10669159
1,24.6,34.38470722
2,23,40.40702697
1,23,40.40702697
-1,23.1,39.3077067
0,22,42.17503297
1,21.7,42.40296767
-1,21.7,42.40296767
1,21.7,42.40296767
0,22.5,40.31948472
0.2,22.5,40.31948472
0.8,22.5,40.31948472
0.2,22.5,40.31948472
0.5,22.6,41.73402077
0,22.2,43.1073565
0.5,22.2,43.1073565
0.2,22.2,43.1073565
1,23.2,41.93622267
2.1,24,38.77055194
1,24,38.1734414
0.5,24.3,37.4199442
1.7,24.3,37.4199442
0.4,24.3,37.4199442
1.9,22.4,43.38338516
2,23.4,41.58803559
0,23,42.92175381
1.5,24,39.36977263
0.5,24,39.36977263
1.9,24.1,40.71135184
1.5,24.1,40.71135184
2.5,26.6,32.3925513
2.2,26.6,38.85670637
2,26.6,37.21446081
2.5,28.1,29.9652929
3,28.1,29.9652929
1.5,28.1,29.9652929
1,27.5,30.59880336
2,27.5,30.59880336
0.9,26.8,36.93944464
-1,26.9,36.53473594
0.5,26.9,36.53473594
2.3,26.8,36.93944464
0,,
1,,
0.5,24.1,48.73546693
1.1,24.7,45.72861098
0.7,23.8,49.01931593
0.7,22.8,51.11408109
1.3,30,29.74454307
1.5,30,29.74454307
2,29.9,30.07391936
2.3,29.7,29.80227248
2.6,29.4,29.86109857
2,29.4,29.86109857
1.4,29.5,29.99847722
1,29.3,29.72298147
2.5,30.4,28.00395926
2.4,29.6,37.88918247
3,31.5,20.5536587
2,31.5,20.5536587
3,31.5,20.5536587
2.8,31.5,20.5536587
1,30.9,22.16308681
1,30.9,18.41796163
2,30.9,22.16308681
2.1,31.1,22.03560821
2.9,31.1,22.03560821
-1,24.4,39.33060782
2.8,31,19.39283202
3,31,19.39283202
3,28.2,26.22629112
2.5,28.2,26.22629112
3,28.1,24.64384388
1,26,30.4430539
2,28.6,22.62594782
2.5,29.6,33.95541033
3,29.6,33.95541033
2.9,29.8,33.72884574
2.4,29.6,33.95541033
3,29.6,33.95541033
2.5,28.8,37.41677419
2.3,31.2,39.73146226
2.4,29.5,38.26979483
2.5,29.5,38.26979483
2,29.5,38.26979483
3,29.5,38.26979483
3,29.5,38.26979483
2,29.5,38.26979483
1,29.7,39.00849508
2.3,29.7,39.00849508
2.8,31.2,39.73146226
2.9,28.7,51.21980629
2.8,28.7,51.21980629
3,31.2,39.73146226
1,30.3,43.21615724
2,30.3,43.21615724
1,27.1,35.73619737
2,27.1,35.73619737
0.1,27.1,35.73619737
2.3,26.3,39.57587869
2,26.3,39.57587869
2.5,27.5,32.63516507
2.7,27.4,35.08740061
2,24.6,44.99675224
0,25.4,46.56429973
2.2,25.4,46.56429973
0,25.4,46.56429973
1,25.4,46.56429973
1.7,25.2,43.3444521
1.7,27.4,38.79680811
-0.9,26.1,45.0253962
2.5,26.1,45.0253962
1,25.9,45.37335371
2.7,25.9,45.37335371
1,25.9,45.37335371
0.6,25.9,45.96063204
-0.5,26.2,45.72418073
1,25.6,47.99495375
1.9,25.6,47.99495375
-0.3,25.6,47.99495375
0.8,25.8,47.62250997
0,26.5,46.06927571
2,26.5,46.06927571
2,30.3,39.20689012
2.9,30.6,36.15716957
1.5,26.8,37.48045189
2.1,27.5,42.17152389
2,27.5,42.17152389
1,29.7,35.05389359
3,29.7,36.52323401
1,29.7,36.52323401
2,29.7,36.52323401
1.7,29.7,36.52323401
2.3,29.9,36.76686697
2.4,29.9,36.76686697
1,29.2,37.90809129
1.5,29.6,37.88918247
2.5,30.1,36.5204008
3,30.2,35.67324903
2.2,29.9,36.27731237
2.1,30.2,35.67324903
1,30.1,36.03464551
2,31,33.81621261
0.7,33.2,25.35248884
3,33.2,25.35248884
2.2,30.4,35.4372288
2.8,29.6,39.39447185
2.5,29.6,39.39447185
3,31.5,30.80149183
2.8,31.5,30.80149183
2.5,31.5,30.80149183
1,31.3,28.76833147
2.4,27.4,38.26111485
2.7,27.4,38.26111485
0.9,27,39.37094847
2,28.2,36.65981008
1.5,27.4,37.19554222
2.5,26.4,39.14921068
1.8,26.4,39.14921068
2,26.9,35.99883361
3,26.9,35.99883361
1.8,28,35.88475713
2.5,26.9,35.99883361
0.9,26.9,35.99883361
2.4,27.6,35.35608891
2,27.5,39.45971599
2.3,31.6,25.70272985
3,30,39.85724752
2.5,30,39.85724752
3,30,39.85724752
2,30,39.85724752
1,30,39.85724752
2.6,30,42.38282778
2.6,30,42.38282778
1,28.9,39.07369221
0.5,28.9,39.07369221
2.6,28.9,39.07369221
1.3,28.9,39.07369221
1,28.9,39.07369221
0.5,25.4,47.76764377
1,26.9,44.24465828
2,26.8,45.26404259
0.8,28.8,36.90839721
2.5,26.8,45.26404259
2,26.8,45.26404259
2,25.4,50.20074467
1,25.3,48.86796508
0,23.9,52.35046959
1,25,41.90791369
0.5,25,41.90791369
0,24.9,42.96515001
1,24.9,42.96515001
0,23.1,44.32459261
1,24.4,39.33060782
1,24.4,39.33060782
0.3,24.4,39.33060782
0.2,25.7,39.35225824
2.5,25.7,39.35225824
1,25,41.31889977
0.5,24.5,40.06054668
0,21.1,47.65483409
0,21.1,46.96478825
0,23.9,45.97941115
1.2,23.9,45.97941115
0.2,24.5,41.84895577
1,27.7,33.42531901
0.8,27.4,27.44624295
2,27.2,34.29109578
2,26.1,35.98665409
1,27.6,34.31804208
2.1,26.7,35.72693231
1.2,26,38.62279323
0.5,25.8,37.79350169
1.5,26.4,36.9455148
1,25.8,37.79350169
0.5,26,35.29836022
0.8,25.4,40.67640007
1.9,29.2,24.92189995
2,29.2,24.92189995
1.1,29.2,24.92189995
2,26.8,29.56553588
0,26,32.58184662
-0.1,27.1,34.15295739
0.2,27.7,29.38533
1.5,27.7,29.38533
0.1,26.5,34.37612742
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-1,23.4,33.6
1,24.1,26.8
0,24.1,27.8
1,24.8,40.5
2,22.7,32
2,23.4,28
-1,22.3,32.5
1,22,30.1
0,22,32
-1,23.6,19
0,23.6,19.8
0,23.6,19.8
1,24.1,25.1
0,24.1,25.1
1,24.1,25.1
1,24.1,25.1
0,23,23.4
-1,22.3,24.7
2,23,23.4
0,23,22.6
-2,22.3,24.7
-3,22.3,24.7
-1,22.3,24.7
0,23,22.6
-1,23.4,20.3
0,24.1,22.5
0,24.1,22.5
2,24.1,22.5
2,24.1,22.5
1,23.2,19.1
1,23,24.9
0,21.3,28.8
1,23,24.9
-1,22.3,29.4
0,22.3,27.7
0,22,31.5
1,24.1,26.6
-1,23.6,23
-1,22,29.9
-1,20.6,35.4
0,22,29.9
-1,22,29.9
-2,22.3,25.6
-2,20.2,35.1
-2,21.3,32.8
-1,21.3,41.1
0,20.9,42.8
0,20.9,42.8
0,20.9,42.8
-1,21.3,41.1
0,20.9,40.8
0,22,38.5
0,24.1,36.3
0,24.1,36.3
1,24.1,36.3
1,24.1,36.3
1,24.1,36.3
-1,20.2,44.7
0,21.3,42
0,23.6,37.1
0,23.6,38
1,24.1,39.6
1,24.1,39.6
0,24.1,39.6
0,21.6,46.1
1,21.6,46.2
0,21.6,45.5
-1,20.9,46.4
-1,21.6,45.5
-1,22,44.7
1,20.9,46.4
2,24.5,40.2
0,23.6,39.4
2,21.6,45.1
,20.9,46.9
1,21.6,47.3
0,21.6,46.1
-2,20.6,48
0,25.2,47.7
0,25.2,48.3
2,25.2,48.3
2,25.2,48.3
1,25.2,48.3
-1,22.7,55.6
1,21.6,56.2
0,22.7,53
0,22.7,53
-2,22.7,55.6
0,22.7,55.6
1,25.2,47.2
0,22.3,52.2
0,22.3,52.2
2,25.5,46.1
3,25.5,46.1
2,25.5,46.1
-1,22,53.7
1,23,49.7
2,21.6,56.1
-1,22,53.7
1,22.3,53.2
1,22,52.2
1,25.5,46.7
3,25.5,46.7
1,23.2,49.4
0,23.2,49.4
1,23,49.7
-1,23,49.7
0,23.4,50.7
1,24.1,42.4
0,24.1,42.4
0,24.1,42.4
0,22.8,44.4
0,22.8,44.4
-1,22.8,44.4
-1,21.3,50.5
0,21.6,47.8
1,21.6,47.8
-1,23,44
1,24.5,41.9
1,22.8,44.7
1,23.2,44.7
-1,22,46.3
1,22,46.3
2,25.2,35.3
0,25.2,35.3
3,25.2,35.3
0,23.6,40.4
-1,23.6,40.4
0,23.6,40.4
-3,23.6,40.4
0,23.6,40.4
1,23.6,40.4
1,23.8,36
0,23,37.3
1,22.7,39.9
0,23.8,36
-2,22,43.8
0,23.4,36.5
1,23.6,39.7
0,23.6,39.7
0,24.1,33
2,23.2,35.2
1,23.2,35.2
0,23.2,35.2
0,23.2,35.2
0,22.3,33.7
1,22.3,33.7
2,23.4,33.6
0,23.8,32.4
1,23.8,32.4
0,23.2,34.9
0,23.2,34.9
0,23.2,34.9
2,24.1,29.3
1,24.1,29.3
2,24.1,29.3
1,22.8,32.4
1,22.8,32.4
0,22.8,32.4
0,22.8,32.4
0,22.8,32.4
3,22.7,29.4
2,23.4,27.2
0,22,32.5
-1,23,28.5
2,23,28.5
-1,22,33.7
-2,22.7,29.4
-1,22,31.4
0,22.7,29.4
1,24.5,27.2
0,22.8,31.6
-1,23,26.7
-1,22.3,27.8
0,21.6,33.2
0,21.6,33.2
0,22.3,27.8
1,23,26.7
1,23.4,29.2
0,24.1,31.9
0,24.1,31.9
0,23.2,34.5
0,23.2,34.5
-2,22,33.9
0,21.3,37.1
1,21.6,34.7
0,20.9,38.9
-1,20.9,38.9
-1,20.9,38.9
1,20.9,38.9
-1,22,33
0,22,33
0,22,35.6
0,23.4,34.4
0,24.1,31.4
1,23.2,33.4
1,23.2,33.4
-1,23.2,33.4
0,23.2,33.4
0,22,32.6
-1,22,32.6
2,23.8,26.6
0,23.8,26.6
2,23.8,26.6
0,23.6,28.4
0,23.6,28.4
0,23.6,28.4
0,23.8,29.1
1,23,33.7
1,22.3,33
0,23.8,29.1
0,22,34.2
0,22,34.2
0,23.8,29.1
0,22.7,34.1
2,23,33.7
1,22.7,34.1
-1,23,26.2
1,23.4,26
1,23.4,26
1,23.6,27.5
2,23.6,27.5
0,23.6,27.5
0,22.3,32
0,22.7,33.7
2,23,29.3
0,23.8,26.6
0,23.8,26.6
1,23.8,26.6
0,23.2,28.2
1,23.2,28.2
0,23.2,28.2
0,23.2,28.2
0,23.2,28.2
1,22.7,33.5
