BLCODE,SUB,AGE,SEX,YEAR,DAY,TIME,ASH,PRXY_TSA,TSA,MCI,VENT,AVM,COMF,ACT10,ACT20,ACT30,ACT60,MET,CLO,UPHOLST,INSUL,TA_H,TA_M,TA_L,DEWPT,PRTA-B,TG_H,TG_M,TG_L,VEL_H,VEL_M,VEL_L,TURB_H,TURB_M,TURB_L,TAAV,TRAV,TOP,VELAV,VELMAX,TUAV,PA,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,PCC_AG,PCS,PCEC1,PCEC2,PCEC3,PCEC4,PCEC5,PCEC6,PCEC7,PCED1,PCED2,PCED3,PCED4,PCED5,PCED6,PCED7,day15_ta,day06_ta,dayav_ta,day15_rh,day06_rh,dayav_rh,day15_et,day06_et,dayav_et
4,1,.,.,1994,307,.,2,1,2,.,.,.,.,.,.,.,.,1.194539249,0.345210405,0.15,0.495210405,.,21.28,.,.,.,.,.,.,.,0.04,.,.,.,.,21.28,22.01157328,21.64578664,0.04,.,.,.,40.4,21.5,20.9,-0.24,-0.24,-0.99,0.26,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.4,7.6,10,79.1,86.7,82.9,12.6,7.7,10.15
4,2,.,.,1994,307,.,1,2,2,.,.,.,.,.,.,.,.,1.194539249,0.345210405,0.15,0.495210405,.,21.17,.,.,.,.,.,.,.,0.09,.,.,.,.,21.17,21.87849538,21.52424769,0.09,.,.,.,40.5,21.5,20.8,-0.24,-0.24,-1.02,0.27,.,0.077984025,.,0.077984025,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.4,7.6,10,79.1,86.7,82.9,12.6,7.7,10.15
4,3,.,.,1994,307,.,0,2,2,.,.,.,.,.,.,.,.,1.194539249,0.688598989,0.15,0.838598989,.,21.17,.,.,.,.,.,.,.,0.08,.,.,.,.,21.17,21.76838108,21.46919054,0.08,.,.,.,40.56,21.4,23.6,-0.08,-0.08,-0.3,0.07,.,0.063085205,.,0.063085205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.4,7.6,10,79.1,86.7,82.9,12.6,7.7,10.15
4,4,.,.,1994,307,.,-1,2,2,.,.,.,.,.,.,.,.,1.194539249,0.463101924,0.15,0.613101924,.,21.28,.,.,.,.,.,.,.,0.11,.,.,.,.,21.28,21.58327308,21.43163654,0.11,.,.,.,41.08,21.4,21.6,-0.18,-0.18,-0.79,0.18,.,0.105992988,.,0.105992988,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.4,7.6,10,79.1,86.7,82.9,12.6,7.7,10.15
4,5,.,.,1994,307,.,1,2,1,.,.,.,.,.,.,.,.,1.194539249,0.79600298,0.15,0.94600298,.,21.45,.,.,.,.,.,.,.,0.09,.,.,.,.,21.45,21.73986413,21.59493207,0.09,.,.,.,41.4,21.5,24.5,-0.04,-0.04,-0.11,0.05,.,0.076282113,.,0.076282113,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.4,7.6,10,79.1,86.7,82.9,12.6,7.7,10.15
4,6,.,.,1994,307,.,0,2,2,.,.,.,.,.,.,.,.,1.194539249,0.847102925,0.15,0.997102925,.,21.4,.,.,.,.,.,.,.,0.06,.,.,.,.,21.4,21.77018301,21.5850915,0.06,.,.,.,41,21.5,24.8,-0.02,-0.02,-0.05,0.05,.,0.029205188,.,0.029205188,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.4,7.6,10,79.1,86.7,82.9,12.6,7.7,10.15
4,7,.,.,1994,307,.,-1,2,2,.,.,.,.,.,.,.,.,1.194539249,0.628495758,0.15,0.778495758,.,21.35,.,.,.,.,.,.,.,0.08,.,.,.,.,21.35,21.64921196,21.49960598,0.08,.,.,.,47.88,21.5,23.2,-0.1,-0.1,-0.36,0.08,.,0.062200144,.,0.062200144,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.4,7.6,10,79.1,86.7,82.9,12.6,7.7,10.15
4,8,.,.,1994,307,.,0,2,2,.,.,.,.,.,.,.,.,1.194539249,0.383921496,0.15,0.533921496,.,21.92,.,.,.,.,.,.,.,0.12,.,.,.,.,21.92,21.75688971,21.83844486,0.12,.,.,.,50,21.8,21.4,-0.19,-0.19,-0.85,0.2,.,0.114193029,.,0.114193029,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.4,7.6,10,79.1,86.7,82.9,12.6,7.7,10.15
4,9,.,.,1994,307,.,2,1,2,.,.,.,.,.,.,.,.,1.194539249,0.586268177,0.15,0.736268177,.,22.01,.,.,.,.,.,.,.,0.09,.,.,.,.,22.01,21.99926631,22.00463315,0.09,.,.,.,48.41,22,23.3,-0.09,-0.09,-0.31,0.07,.,0.07287829,.,0.07287829,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.4,7.6,10,79.1,86.7,82.9,12.6,7.7,10.15
4,10,.,.,1994,306,.,2,1,1,.,.,.,.,.,.,.,.,1.194539249,0.561212948,0.15,0.711212948,.,22.9,.,.,.,.,.,.,.,0.08,.,.,.,.,22.9,22.82525464,22.86262732,0.08,.,.,.,37.44,22.7,23.8,-0.07,-0.07,-0.22,0.06,.,0.054578782,.,0.054578782,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.4,7.6,10,79.1,86.7,82.9,12.6,7.7,10.15
