"D. Rowe. Winter, 1995.  Mixed (HVAC/NV - Room Air Conditioned) Academic Office Building in Sydney, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Identifiers,,,,,,,Thermal Questionnaire,,,,,,,,,,,,,,,Indoor Climate Physical Obs,,,,,,,,,,,,,,Calculated Indices,,,,,,,,,,,,,,,,,,Personal Environmental Control,,,,,,,,,,,,,,,,,Outdoor Meteorological Data,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(n.b.combined chair + clothing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ASH55-92,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCODE,,AGE,,YEAR,,TIME,,PRXY_TSA,,MCI,,AVM,,,ACT20,,ACT60,,CLO,,,TA_H,,TA_L,,PRTA-B,,TG_M,,VEL_H,,VEL_L,,TURB_M,,TAAV,,TOP,,VELMAX,,PA,,,,,,,,,,,,,PCC_AG,,PCEC1,,PCEC3,,PCEC5,,PCEC7,,PCED2,,PCED4,,PCED6,,day15_ta,,dayav_ta,,day06_rh,,day15_et,,dayav_et,,,,,,TAAV,,TOP,,,,
,SUB,,SEX,,DAY,,ASH,,TSA,,VENT,,COMF,ACT10,,ACT30,,MET,,UPHOLST,INSUL,,TA_M,,DEWPT,,TG_H,,TG_L,,VEL_M,,TURB_H,,TURB_L,,TRAV,,VELAV,,TUAV,,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,,PCS,,PCEC2,,PCEC4,,PCEC6,,PCED1,,PCED3,,PCED5,,PCED7,,day06_ta,,day15_rh,,dayav_rh,,day06_et,,,,,,ASH,,TRAV,,ET,SET,TSENS,PMV
1,8,.,0,1995,138,.,1,2,2,2,6,2,6,.,.,.,.,1.262798635,1.1,0.15,1.25,.,21.6,.,.,.,.,.,.,.,0.25,.,.,0.44,.,21.6,22.90285714,22.25142857,0.25,.,0.44,.,63,22.7,28.4,0.4,0.88,0.44,0.09,.,0.329606333,.,0.329606333,.,6,.,1,0,1,1,1,1,0,.,.,.,.,.,.,.,16.84,14.88,15.86,98.2,100,99.1,17.2,15.3,16.25,,,,,1,21.6,22.90285714,22.25142857,22.7,28.4,0.4,0.44
1,21,.,0,1995,138,.,0,2,2,2,5,2,5,.,.,.,.,1.484641638,0.83,0.15,0.98,.,22.2,.,.,.,.,.,.,.,0.15,.,.,0.266666667,.,22.2,23.07714286,22.63857143,0.15,.,0.266666667,.,62,23.1,27.6,0.33,0.62,0.58,0.12,.,0.130774775,.,0.130774775,.,6,.,1,0,1,1,1,1,0,.,.,.,.,.,.,.,16.84,14.88,15.86,98.2,100,99.1,17.2,15.3,16.25,,,,,0,22.2,23.07714286,22.63857143,23.1,27.6,0.33,0.58
1,14,.,1,1995,138,.,2,1,1,1,1,3,2,.,.,.,.,1.109215017,1.07,0.15,1.22,.,23,.,.,.,.,.,.,.,0.08,.,.,0.25,.,23,24.13428571,23.56714286,0.08,.,0.25,.,59,23.9,28.2,0.45,0.78,0.58,0.12,.,0.048533274,.,0.048533274,.,6,.,1,0,1,1,1,1,0,.,.,.,.,.,.,.,16.84,14.88,15.86,98.2,100,99.1,17.2,15.3,16.25,,,,,2,23,24.13428571,23.56714286,23.9,28.2,0.45,0.58
1,17,.,1,1995,138,.,0,2,2,2,4,.,5,.,.,.,.,1.774744027,0.59,0,0.59,.,23.2,.,.,.,.,.,.,.,0.03,.,.,0.666666667,.,23.2,24.33030303,23.76515152,0.03,.,0.666666667,.,58,23.9,25.7,0.12,0.21,0.76,0.17,.,0,.,0,.,6,.,1,0,1,1,1,1,0,.,.,.,.,.,.,.,16.84,14.88,15.86,98.2,100,99.1,17.3,15.3,16.3,,,,,0,23.2,24.33030303,23.76515152,23.9,25.7,0.12,0.76
1,10,.,1,1995,138,.,2,1,2,1,2,3,4,.,.,.,.,1.706484642,0.95,0,0.95,.,22.3,.,.,.,.,.,.,.,0.03,.,.,0.666666667,.,22.3,22.95,22.625,0.03,.,0.666666667,.,61,23.1,28.2,0.43,0.79,0.83,0.19,.,0,.,0,.,6,.,1,1,1,1,1,1,0,.,.,.,.,.,.,.,16.84,14.88,15.86,98.2,100,99.1,17.7,15.3,16.5,,,,,2,22.3,22.95,22.625,23.1,28.2,0.43,0.83
1,15,.,1,1995,138,.,0,2,2,2,6,2,5,.,.,.,.,1.211604096,0.88,0.15,1.03,.,22,.,.,.,.,.,.,.,0.04,.,.,1,.,22,22.09142857,22.04571429,0.04,.,1,.,61,22.3,25.9,0.05,0.13,0.21,0.06,.,0,.,0,.,6,.,1,0,1,1,1,1,0,.,.,.,.,.,.,.,16.84,14.88,15.86,98.2,100,99.1,17.2,15.3,16.25,,,,,0,22,22.09142857,22.04571429,22.3,25.9,0.05,0.21
