BLCODE,SUB,AGE,SEX,YEAR,DAY,TIME,ASH,PRXY_TSA,TSA,MCI,VENT,AVM,COMF,ACT10,ACT20,ACT30,ACT60,MET,CLO,UPHOLST,INSUL,TA_H,TA_M,TA_L,DEWPT,PRTA-B,TG_H,TG_M,TG_L,VEL_H,VEL_M,VEL_L,TURB_H,TURB_M,TURB_L,TAAV,TRAV,TOP,VELAV,VELMAX,TUAV,PA,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,PCC_AG,PCS,PCEC1,PCEC2,PCEC3,PCEC4,PCEC5,PCEC6,PCEC7,PCED1,PCED2,PCED3,PCED4,PCED5,PCED6,PCED7,day15_ta,day06_ta,dayav_ta,day15_rh,day06_rh,dayav_rh,day15_et,day06_et,dayav_et
F,,14.83,0,1995,276,,-1.5,,1,3,,3,4,,,,,1.2,0.27,0.10,0.37,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22,-0.15,-0.15,-0.62,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,15.75,0,1995,276,,-1.2,,1,3,,2,5,,,,,1.2,0.37,0.10,0.47,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22.9,-0.1,-0.1,-0.38,0.08,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,15.42,0,1995,276,,-2.3,,1,3,,1,5,,,,,1.2,0.61,0.10,0.71,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,24.9,-0.01,-0.01,0.1,0.05,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,15.75,1,1995,276,,-1.2,,1,3,,2,4,,,,,1.2,0.37,0.10,0.47,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22.9,-0.1,-0.1,-0.38,0.08,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,14.83,1,1995,276,,-1,,1,2,,2,4,,,,,1.2,0.57,0.10,0.67,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,24.5,-0.02,-0.02,0.03,0.05,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,15.42,1,1995,276,,-2,,1,2,,3,5,,,,,1.2,0.3,0.10,0.40,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22.3,-0.13,-0.13,-0.54,0.11,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,14.58,1,1995,276,,-1,,1,2,,2,6,,,,,1.2,0.35,0.10,0.45,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22.7,-0.11,-0.11,-0.42,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,14.75,1,1995,276,,-0.2,,1,2,,2,6,,,,,1.2,0.3,0.10,0.40,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22.3,-0.13,-0.13,-0.54,0.11,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,14.58,0,1995,276,,-0.9,,1,2,,3,5,,,,,1.2,0.29,0.10,0.39,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22.2,-0.14,-0.14,-0.56,0.12,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,14.67,0,1995,276,,0,,1,2,,2,3,,,,,1.2,0.3,0.10,0.40,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22.3,-0.13,-0.13,-0.54,0.11,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,13.92,0,1995,276,,1.4,,1,2,,2,5,,,,,1.2,0.25,0.10,0.35,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,21.8,-0.16,-0.16,-0.67,0.14,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,15.83,1,1995,276,,0,,1,2,,2,5,,,,,1.2,0.25,0.10,0.35,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,21.8,-0.16,-0.16,-0.67,0.14,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,14.67,0,1995,276,,-1,,1,2,,3,5,,,,,1.2,0.52,0.10,0.62,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,24.1,-0.04,-0.04,-0.06,0.05,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,14.25,1,1995,276,,-0.3,,1,2,,3,5,,,,,1.2,0.29,0.10,0.39,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22.2,-0.14,-0.14,-0.56,0.12,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,15.42,1,1995,276,,1,,2,1,,3,5,,,,,1.2,0.48,0.10,0.58,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,23.8,-0.05,-0.05,-0.14,0.05,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,14.92,1,1995,276,,-0.5,,1,1,,3,5,,,,,1.2,0.29,0.10,0.39,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22.2,-0.14,-0.14,-0.56,0.12,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,14.58,0,1995,276,,0,,1,1,,3,5,,,,,1.2,0.27,0.10,0.37,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,22,-0.15,-0.15,-0.62,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,15.67,0,1995,276,,0.5,,2,1,,2,3,,,,,1.2,0.49,0.10,0.59,23.8,,,,,23.5,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,23.9,-0.05,-0.05,-0.12,0.05,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,15.42,1,1995,276,,-0.5,,1,1,,2,5,,,,,1.2,0.4,0.10,0.50,23.8,,,,,23.4,,,0.1233,,,,,,,,23.6215,,,,,62.7,23.7,23.1,-0.09,-0.09,-0.31,0.07,0.13,,,,,,,,,,,,,,,,,,,,,,,29.44444444,,,60.5,,,
F,,14.58,0,1995,276,,-1,,1,3,,2,3,,,,,1.2,0.28,0.10,0.38,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,22,-0.15,-0.15,-0.65,0.14,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,15.75,0,1995,276,,-2.8,,2,3,,2,3,,,,,1.2,0.3,0.10,0.40,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,22.2,-0.14,-0.14,-0.6,0.13,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,14.42,1,1995,276,,0,,1,2,,2,5,,,,,1.2,0.25,0.10,0.35,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,21.8,-0.16,-0.16,-0.73,0.16,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,15.50,0,1995,276,,-1,,1,2,,2,5,,,,,1.2,0.3,0.10,0.40,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,22.2,-0.14,-0.14,-0.6,0.13,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,15.42,0,1995,276,,0,,1,2,,2,5,,,,,1.2,0.29,0.10,0.39,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,22.1,-0.14,-0.14,-0.63,0.13,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,55.00,0,1995,276,,-0.9,,1,2,,2,6,,,,,1.2,0.46,0.10,0.56,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.7,23.6,-0.07,-0.07,-0.23,0.06,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,15.42,1,1995,276,,-2,,1,2,,2,5,,,,,1.2,0.6,0.10,0.70,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.7,24.7,-0.02,-0.02,0.04,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,14.50,1,1995,276,,-1.7,,1,2,,2,4,,,,,1.2,0.27,0.10,0.37,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,21.9,-0.15,-0.15,-0.68,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,16.67,1,1995,276,,0,,1,2,,3,4,,,,,1.2,0.53,0.10,0.63,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.7,24.1,-0.04,-0.04,-0.09,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,13.58,1,1995,276,,-2,,1,2,,2,5,,,,,1.2,0.61,0.10,0.71,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.7,24.8,-0.01,-0.01,0.06,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,15.67,0,1995,276,,0,,1,2,,2,5,,,,,1.2,0.47,0.10,0.57,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.7,23.7,-0.06,-0.06,-0.21,0.06,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,14.83,0,1995,276,,-1.5,,1,2,,2,4,,,,,1.2,0.43,0.10,0.53,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.7,23.3,-0.08,-0.08,-0.3,0.07,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,15.00,1,1995,276,,-0.7,,1,2,,2,5,,,,,1.2,0.37,0.10,0.47,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,22.8,-0.1,-0.1,-0.43,0.09,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,14.67,1,1995,276,,0,,1,2,,2,5,,,,,1.2,0.25,0.10,0.35,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,21.8,-0.16,-0.16,-0.73,0.16,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,14.92,0,1995,276,,0,,1,2,,2,5,,,,,1.2,0.25,0.10,0.35,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,21.8,-0.16,-0.16,-0.73,0.16,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,15.67,0,1995,276,,-1,,1,2,,2,6,,,,,1.2,0.46,0.10,0.56,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.7,23.6,-0.07,-0.07,-0.23,0.06,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,13.92,1,1995,276,,-1,,1,1,,2,4,,,,,1.2,0.27,0.10,0.37,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,21.9,-0.15,-0.15,-0.68,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,15.17,1,1995,276,,0.3,,1,1,,3,5,,,,,1.2,0.27,0.10,0.37,23.8,,,,,23.4,,,0.1348,,,,,,,,23.5613,,,,,61.6,23.6,21.9,-0.15,-0.15,-0.68,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,30,,,60.5,,,
F,,15.25,1,1995,276,,-1,,1,3,,3,5,,,,,1.2,0.43,0.10,0.53,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,23.3,-0.08,-0.08,-0.34,0.07,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,13.83,1,1995,276,,-2.5,,1,3,,2,5,,,,,1.2,0.29,0.10,0.39,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,22.1,-0.14,-0.14,-0.68,0.15,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,15.00,1,1995,276,,-2.9,,2,3,,2,4,,,,,1.2,0.55,0.10,0.65,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,24.2,-0.03,-0.03,-0.09,0.05,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,14.00,0,1995,276,,-0.5,,1,3,,2,5,,,,,1.2,0.3,0.10,0.40,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,22.1,-0.14,-0.14,-0.65,0.14,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,15.08,0,1995,276,,-1,,1,2,,2,5,,,,,1.2,0.44,0.10,0.54,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,23.4,-0.08,-0.08,-0.32,0.07,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,15.50,0,1995,276,,-2.3,,1,2,,2,5,,,,,1.2,0.29,0.10,0.39,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,22.1,-0.14,-0.14,-0.68,0.15,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,14.67,1,1995,276,,-0.5,,1,2,,2,5,,,,,1.2,0.3,0.10,0.40,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,22.1,-0.14,-0.14,-0.65,0.14,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,15.75,1,1995,276,,-2,,1,2,,2,5,,,,,1.2,0.42,0.10,0.52,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,23.2,-0.08,-0.08,-0.37,0.08,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,13.92,1,1995,276,,-2.7,,1,2,,2,5,,,,,1.2,0.63,0.10,0.73,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,24.9,-0.01,-0.01,0.05,0.05,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,15.00,1,1995,276,,-1,,1,2,,2,5,,,,,1.2,0.27,0.10,0.37,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,21.9,-0.16,-0.16,-0.74,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,14.17,0,1995,276,,1,,1,1,,3,3,,,,,1.2,0.5,0.10,0.60,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,23.8,-0.05,-0.05,-0.19,0.06,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,15.33,0,1995,276,,-1,,1,1,,3,4,,,,,1.2,0.59,0.10,0.69,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,24.6,-0.02,-0.02,-0.02,0.05,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
F,,15.42,0,1995,276,,-0.4,,1,1,,2,5,,,,,1.2,0.45,0.10,0.55,23.7,,,,,23.4,,,0.1413,,,,,,,,23.5238,,,,,61.7,23.6,23.4,-0.07,-0.07,-0.3,0.07,0.16,,,,,,,,,,,,,,,,,,,,,,,31.11111111,,,60.5,,,
