BLCODE,SUB,AGE,SEX,YEAR,DAY,TIME,ASH,PRXY_TSA,TSA,MCI,VENT,AVM,COMF,ACT10,ACT20,ACT30,ACT60,MET,CLO,UPHOLST,INSUL,TA_H,TA_M,TA_L,DEWPT,PRTA-B,TG_H,TG_M,TG_L,VEL_H,VEL_M,VEL_L,TURB_H,TURB_M,TURB_L,TAAV,TRAV,TOP,VELAV,VELMAX,TUAV,PA,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,PCC_AG,PCS,PCEC1,PCEC2,PCEC3,PCEC4,PCEC5,PCEC6,PCEC7,PCED1,PCED2,PCED3,PCED4,PCED5,PCED6,PCED7,day15_ta,day06_ta,dayav_ta,day15_rh,day06_rh,dayav_rh,day15_et,day06_et,dayav_et
1,124,43,1,1994,223,9:30 AM,0,2,.,2,.,.,.,.,.,.,.,1.2,0.53907,0.15,0.68907,.,23.7,.,.,.,.,23.7,.,.,0.2209,.,.,.,.,23.7,23.7,23.7,0.2209,.,.,.,54.2,23.8,24.6,-0.02,-0.02,-0.17,0.06,.,0.220774677,.,0.220774677,.,4.2,.,1,0,1,0,1,0,.,.,.,.,.,.,.,.,18.63,14.89,16.76,73.8,96.7,85.25,18.8,15.2,17
2,208,28,1,1994,223,9:30 AM,0,2,.,2,.,.,.,.,.,.,.,1,0.60249,0.15,0.75249,.,22.2,.,.,.,.,19.9,.,.,0.105625,.,.,.,.,22.2,19.71002985,20.95501492,0.105625,.,.,.,65.2,20.9,21.7,-0.23,-0.23,-1.05,0.28,.,0.092543834,.,0.092543834,.,2.9,.,1,0,1,0,0,0,.,.,.,.,.,.,.,.,18.63,14.89,16.76,73.8,96.7,85.25,18.8,15.2,17
2,314,32,1,1994,223,9:35 AM,0,2,.,2,.,.,.,.,.,.,.,1,0.65534,0.15,0.80534,.,22.7,.,.,.,.,22.5,.,.,0.024336,.,.,.,.,22.7,22.49333876,22.59666938,0.024336,.,.,.,54.2,22.6,23.8,-0.11,-0.11,-0.49,0.1,.,0,.,0,.,2.9,.,1,0,1,0,0,0,.,.,.,.,.,.,.,.,18.63,14.89,16.76,73.8,96.7,85.25,18.8,15.2,17
1,479,26,0,1994,223,11:10 AM,-1,2,.,3,.,.,.,.,.,.,.,1.2,0.41454539,0.15,0.56454539,.,19.6,.,.,.,.,19.8,.,.,0.067081,.,.,.,.,19.6,19.81258003,19.70629001,0.067081,.,.,.,62.3,19.8,19.7,-0.32,-0.32,-1.28,0.39,.,0.047727094,.,0.047727094,.,2.9,.,1,0,1,0,0,0,.,.,.,.,.,.,.,.,18.63,14.89,16.76,73.8,96.7,85.25,18.8,15.2,17
2,209,28,1,1994,223,12:14 PM,-2,1,.,3,.,.,.,.,.,.,.,1,0.60249,0.15,0.75249,.,23.1,.,.,.,.,21.1,.,.,0.051529,.,.,.,.,23.1,20.9939663,22.04698315,0.051529,.,.,.,63.6,22.1,22.8,-0.16,-0.16,-0.69,0.15,.,0.007640406,.,0.007640406,.,2.9,.,1,0,1,0,0,0,.,.,.,.,.,.,.,.,18.63,14.89,16.76,73.8,96.7,85.25,18.8,15.2,17
1,1,47,0,1994,223,12:30 PM,-1,2,.,3,.,.,.,.,.,.,.,1,0.49973211,0.15,0.64973211,.,21.9,.,.,.,.,22,.,.,0.038416,.,.,.,.,21.9,22.00440215,21.95220107,0.038416,.,.,.,63.9,22.1,22.1,-0.21,-0.21,-0.99,0.26,.,0,.,0,.,2.9,.,1,0,1,0,0,0,.,.,.,.,.,.,.,.,18.63,14.89,16.76,73.8,96.7,85.25,18.8,15.2,17
1,125,43,1,1994,223,12:30 PM,0,2,.,2,.,.,.,.,.,.,.,1,0.53907,0.15,0.68907,.,24.1,.,.,.,.,24.4,.,.,0.082944,.,.,.,.,24.1,24.42045303,24.26022651,0.082944,.,.,.,53.6,24.3,24.6,-0.07,-0.07,-0.22,0.06,.,0.052107053,.,0.052107053,.,4.2,.,1,0,1,0,1,0,.,.,.,.,.,.,.,.,18.63,14.89,16.76,73.8,96.7,85.25,18.8,15.2,17
2,290,44,0,1994,223,1:00 PM,1,2,.,2,.,.,.,.,.,.,.,1,0.72174464,0.15,0.87174464,.,21.1,.,.,.,.,21.3,.,.,0.051076,.,.,.,.,21.1,21.3105196,21.2052598,0.051076,.,.,.,55.1,21.3,22.9,-0.17,-0.17,-0.78,0.18,.,0.007259787,.,0.007259787,.,2.9,.,1,0,1,0,0,0,.,.,.,.,.,.,.,.,18.63,14.89,16.76,73.8,96.7,85.25,18.8,15.2,17
2,315,32,1,1994,223,1:45 PM,1,2,.,1,.,.,.,.,.,.,.,1,0.65534,0.15,0.80534,.,23.6,.,.,.,.,23.5,.,.,0.051984,.,.,.,.,23.6,23.49480133,23.54740067,0.051984,.,.,.,54.6,23.6,24.7,-0.06,-0.06,-0.2,0.06,.,0.008582527,.,0.008582527,.,2.9,.,1,0,1,0,0,0,.,.,.,.,.,.,.,.,18.63,14.89,16.76,73.8,96.7,85.25,18.8,15.2,17
1,480,26,0,1994,223,2:00 PM,-1,2,.,3,.,.,.,.,.,.,.,1.2,0.41454539,0.15,0.56454539,.,20.6,.,.,.,.,20.7,.,.,0.067081,.,.,.,.,20.6,20.70623257,20.65311628,0.067081,.,.,.,64.4,20.8,20.7,-0.24,-0.24,-0.98,0.25,.,0.044412713,.,0.044412713,.,2.9,.,1,0,1,0,0,0,.,.,.,.,.,.,.,.,18.63,14.89,16.76,73.8,96.7,85.25,18.8,15.2,17
