"A. G. Kwok. Winter, 1996.  Naturally Ventilated (NV) COOL SEASON School building study in Honolulu, Hawaii.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Identifiers,,,,,,,Thermal Questionnaire,,,,,,,,,,,,,,,Indoor Climate Physical Obs,,,,,,,,,,,,,,Calculated Indices,,,,,,,,,,,,,,,,,,Personal Environmental Control,,,,,,,,,,,,,,,,,Outdoor Meteorological Data,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(n.b.combined chair + clothing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLCODE,,AGE,,YEAR,,,,PRXY_TSA,,MCI,,AVM,,,ACT20,,ACT60,,ASH55-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCC_AG,,PCEC1,,PCEC3,,PCEC5,,PCEC7,,PCED2,,PCED4,,PCED6,,day15_ta,,dayav_ta,,day06_rh,,day15_et,,dayav_et
,SUB,,SEX,,DAY,TIME,ASH,,TSA,,VENT,,COMF,ACT10,,ACT30,,MET,CLO,UPHOLST,INSUL,TA_H,TA_M,TA_L,DEWPT,PRTA-B,TG_H,TG_M,TG_L,VEL_H,VEL_M,VEL_L,TURB_H,TURB_M,TURB_L,TAAV,TRAV,TOP,VELAV,VELMAX,TUAV,PA,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,,PCS,,PCEC2,,PCEC4,,PCEC6,,PCED1,,PCED3,,PCED5,,PCED7,,day06_ta,,day15_rh,,dayav_rh,,day06_et,
E1,,15.33,1,1996,8,,-1.5,,1,3,,2,5,,,,,1.2,0.27,0.10,0.37,25.379,,,,,25.11566667,,,0.1377,,,,,,,,25.2352,,,,,65.77066667,25.4,23.8,-0.05,-0.05,-0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,22.22222222,,,71.5,,,
E1,,16.00,1,1996,8,,-0.5,,1,2,,3,4,,,,,1.2,0.41,0.10,0.51,25.379,,,,,25.11566667,,,0.1377,,,,,,,,25.2352,,,,,65.77066667,25.4,25,0,0,0.19,0.06,,,,,,,,,,,,,,,,,,,,,,,,22.22222222,,,71.5,,,
E1,,14.92,1,1996,8,,-1.5,,1,2,,2,5,,,,,1.2,0.29,0.10,0.39,25.379,,,,,25.11566667,,,0.1377,,,,,,,,25.2352,,,,,65.77066667,25.4,24,-0.04,-0.04,-0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,22.22222222,,,71.5,,,
E1,,15.75,0,1996,8,,-1,,1,2,,2,5,,,,,1.2,0.27,0.10,0.37,25.379,,,,,25.11566667,,,0.1377,,,,,,,,25.2352,,,,,65.77066667,25.4,23.8,-0.05,-0.05,-0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,22.22222222,,,71.5,,,
E1,,15.67,0,1996,8,,0.5,,1,2,,3,3,,,,,1.2,0.43,0.10,0.53,25.379,,,,,25.11566667,,,0.1377,,,,,,,,25.2352,,,,,65.77066667,25.4,25.2,0,0,0.23,0.06,,,,,,,,,,,,,,,,,,,,,,,,22.22222222,,,71.5,,,
E1,,15.92,1,1996,8,,-1,,1,2,,2,3,,,,,1.2,0.43,0.10,0.53,25.379,,,,,25.11566667,,,0.1377,,,,,,,,25.2352,,,,,65.77066667,25.4,25.2,0,0,0.23,0.06,,,,,,,,,,,,,,,,,,,,,,,,22.22222222,,,71.5,,,
