BLCODE,SUB,AGE,SEX,YEAR,DAY,TIME,ASH,PRXY_TSA,TSA,MCI,VENT,AVM,COMF,ACT10,ACT20,ACT30,ACT60,MET,CLO,UPHOLST,INSUL,TA_H,TA_M,TA_L,DEWPT,PRTA-B,TG_H,TG_M,TG_L,VEL_H,VEL_M,VEL_L,TURB_H,TURB_M,TURB_L,TAAV,TRAV,TOP,VELAV,VELMAX,TUAV,PA,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,PCC_AG,PCS,PCEC1,PCEC2,PCEC3,PCEC4,PCEC5,PCEC6,PCEC7,PCED1,PCED2,PCED3,PCED4,PCED5,PCED6,PCED7,day15_ta,day06_ta,dayav_ta,day15_rh,day06_rh,dayav_rh,day15_et,day06_et,dayav_et
3,310,35,0,1994,287,12.00,2,1,.,1,.,.,.,.,.,.,.,.,0.62,0.15,0.77,.,24.1,.,.,.,.,.,.,.,.,.,.,.,.,24.1,.,.,.,.,.,.,26.8,23.7,25.2,-0.01,-0.01,0.02,0.05,.,0.12729167,.,0.12729167,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.6,12.3,12.95,52.6,59.7,56.15,13.6,12.3,12.95
3,651,35,0,1994,287,12.00,-1,2,.,2,.,.,.,.,.,.,.,.,1.04,0.15,1.19,.,23.4,.,.,.,.,.,.,.,.,.,.,.,.,23.4,.,.,.,.,.,.,33.6,22.9,27.6,0.37,0.6,0.43,0.09,.,0.136292091,.,0.136292091,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.6,12.3,12.95,52.6,59.7,56.15,13.6,12.3,12.95
3,1000,25,0,1994,287,12.00,1,2,.,2,.,.,.,.,.,.,.,.,0.62,0.15,0.77,.,24.1,.,.,.,.,.,.,.,.,.,.,.,.,24.1,.,.,.,.,.,.,26.8,23.7,25.2,-0.01,-0.01,0.02,0.05,.,0.12729167,.,0.12729167,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.6,12.3,12.95,52.6,59.7,56.15,13.6,12.3,12.95
3,1155,45,1,1994,287,12.00,0,2,.,2,.,.,.,.,.,.,.,.,0.5,0.15,0.65,.,24.1,.,.,.,.,.,.,.,.,.,.,.,.,24.1,.,.,.,.,.,.,27.8,23.8,24.4,-0.04,-0.04,-0.18,0.06,.,0.12729167,.,0.12729167,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.6,12.3,12.95,52.6,59.7,56.15,13.6,12.3,12.95
3,1617,25,1,1994,287,12.00,1,2,.,2,.,.,.,.,.,.,.,.,0.75,0.15,0.9,.,24.8,.,.,.,.,.,.,.,.,.,.,.,.,24.8,.,.,.,.,.,.,40.5,24.5,27,0.32,0.47,0.46,0.09,.,0.118291249,.,0.118291249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.6,12.3,12.95,52.6,59.7,56.15,13.6,12.3,12.95
3,154,.,.,1994,287,13.00,2,1,.,1,.,.,.,.,.,.,.,.,0.88,0.15,1.03,.,22.7,.,.,.,.,.,.,.,.,.,.,.,.,22.7,.,.,.,.,.,.,32,22.3,25.9,0.06,0.13,0.09,0.05,.,0.145292512,.,0.145292512,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.6,13.6,13.6,52.6,52.6,52.6,13.6,13.6,13.6
3,927,25,1,1994,287,13.00,2,1,.,1,.,.,.,.,.,.,.,.,0.5,0.15,0.65,.,23.4,.,.,.,.,.,.,.,.,.,.,.,.,23.4,.,.,.,.,.,.,28,23.1,23.7,-0.07,-0.07,-0.37,0.08,.,0.136292091,.,0.136292091,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.6,13.6,13.6,52.6,52.6,52.6,13.6,13.6,13.6
3,1069,35,1,1994,287,13.00,-1,2,.,3,.,.,.,.,.,.,.,.,0.92,0.15,1.07,.,22.3,.,.,.,.,.,.,.,.,.,.,.,.,22.3,.,.,.,.,.,.,32.5,22,25.8,0.04,0.11,0.06,0.05,.,0.15043561,.,0.15043561,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.6,13.6,13.6,52.6,52.6,52.6,13.6,13.6,13.6
3,1329,25,1,1994,287,13.00,1,2,.,2,.,.,.,.,.,.,.,.,0.75,0.15,0.9,.,22,.,.,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,.,.,30.1,21.8,24.3,-0.05,-0.05,-0.27,0.07,.,0.154292933,.,0.154292933,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.6,13.6,13.6,52.6,52.6,52.6,13.6,13.6,13.6
3,1618,25,1,1994,287,17.00,0,2,.,2,.,.,.,.,.,.,.,.,0.75,0.15,0.9,.,22,.,.,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,.,.,32,21.8,24.4,-0.04,-0.04,-0.26,0.06,.,0.154292933,.,0.154292933,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.6,15.1,14.35,52.6,37.5,45.05,13.6,15,14.3
2,656,45,0,1994,290,10.00,-1,2,.,3,.,.,.,.,.,.,.,.,0.64,0.15,0.79,.,23.6,.,.,.,.,.,.,.,.,.,.,.,.,23.6,.,.,.,.,.,.,19,23.2,24.9,-0.02,-0.02,-0.13,0.05,.,0.133720542,.,0.133720542,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.4,6.9,10.65,38.9,69.2,54.05,14.3,6.9,10.6
